Sample	Top over-represented sequence	Sum of remaining over-represented sequences
qc | fastqc | PGXXXF240300_fail_barcode01	0.28308563340410475	0.0
qc | fastqc | PGXXXF240300_fail_barcode02	0.0	0.0
qc | fastqc | PGXXXF240300_fail_barcode03	0.18181818181818182	99.81818181818262
qc | fastqc | PGXXXF240300_fail_barcode04	0.40816326530612246	99.5918367346944
qc | fastqc | PGXXXF240300_fail_barcode05	0.1699537109920415	0.0
qc | fastqc | PGXXXF240300_fail_barcode06	0.17635028789939622	0.0
qc | fastqc | PGXXXF240300_fail_barcode07	0.1566673273120228	0.0
qc | fastqc | PGXXXF240300_fail_barcode08	0.14924018910014736	0.0
qc | fastqc | PGXXXF240300_fail_barcode09	0.18832391713747645	99.81167608286306
qc | fastqc | PGXXXF240300_fail_barcode10	0.35714285714285715	99.6428571428573
qc | fastqc | PGXXXF240300_fail_barcode11	0.23715415019762848	0.158102766798419
qc | fastqc | PGXXXF240300_fail_barcode12	0.0	0.0
qc | fastqc | PGXXXF240300_fail_barcode13	0.0	0.0
qc | fastqc | PGXXXF240300_fail_barcode14	0.4716981132075472	99.52830188679265
qc | fastqc | PGXXXF240300_fail_barcode15	0.13872374157748713	0.0
qc | fastqc | PGXXXF240300_fail_barcode16	0.2004008016032064	99.79959919839521
qc | fastqc | PGXXXF240300_fail_barcode17	0.2079002079002079	99.79209979209801
qc | fastqc | PGXXXF240300_fail_barcode18	0.15045135406218654	0.0
qc | fastqc | PGXXXF240300_fail_barcode19	0.2770083102493075	0.0
qc | fastqc | PGXXXF240300_fail_barcode20	0.0	0.0
qc | fastqc | PGXXXF240300_fail_barcode21	0.3708281829419036	0.0
qc | fastqc | PGXXXF240300_fail_barcode22	0.8830022075055187	99.11699779249392
qc | fastqc | PGXXXF240300_fail_barcode23	0.16233766233766234	99.83766233766264
qc | fastqc | PGXXXF240300_fail_barcode24	0.11261261261261261	99.88738738738664
qc | fastqc | PGXXXF240300_pass_barcode01	1.0	99.0
qc | fastqc | PGXXXF240300_pass_barcode02	1.5151515151515151	98.4848484848485
qc | fastqc | PGXXXF240300_pass_barcode03	1.0	99.0
qc | fastqc | PGXXXF240300_pass_barcode04	1.3157894736842104	98.68421052631568
qc | fastqc | PGXXXF240300_pass_barcode05	0.3551732417479097	0.4114699165928249
qc | fastqc | PGXXXF240300_pass_barcode06	0.24223571432060365	0.0
qc | fastqc | PGXXXF240300_pass_barcode07	0.3925282171735941	0.21703213183869652
qc | fastqc | PGXXXF240300_pass_barcode08	0.3649239443414289	0.20336031839355978
qc | fastqc | PGXXXF240300_pass_barcode09	3.4482758620689653	96.55172413793107
qc | fastqc | PGXXXF240300_pass_barcode10	2.2222222222222223	97.77777777777786
qc | fastqc | PGXXXF240300_pass_barcode11	2.054794520547945	97.94520547945183
qc | fastqc | PGXXXF240300_pass_barcode12	1.4705882352941175	98.52941176470642
qc | fastqc | PGXXXF240300_pass_barcode13	2.380952380952381	97.61904761904758
qc | fastqc | PGXXXF240300_pass_barcode14	5.454545454545454	94.54545454545446
qc | fastqc | PGXXXF240300_pass_barcode15	1.1594202898550725	98.84057971014445
qc | fastqc | PGXXXF240300_pass_barcode16	1.5151515151515151	98.4848484848485
qc | fastqc | PGXXXF240300_pass_barcode17	2.380952380952381	97.61904761904772
qc | fastqc | PGXXXF240300_pass_barcode18	0.5208333333333333	99.47916666666646
qc | fastqc | PGXXXF240300_pass_barcode19	13.333333333333334	86.66666666666673
qc | fastqc | PGXXXF240300_pass_barcode20	1.7241379310344827	98.27586206896544
qc | fastqc | PGXXXF240300_pass_barcode21	5.46875	94.53125
qc | fastqc | PGXXXF240300_pass_barcode22	3.8461538461538463	96.1538461538461
qc | fastqc | PGXXXF240300_pass_barcode23	4.878048780487805	95.12195121951216
qc | fastqc | PGXXXF240300_pass_barcode24	2.898550724637681	97.10144927536243
qc | fastqc | PGXXXF240300_pass_unclassified	0.1250816662233665	0.10326096780607727
qc | fastqc-nano | PGXXXF240300_fail_barcode01	0.28308563340410475	0.0
qc | fastqc-nano | PGXXXF240300_fail_barcode02	0.0	0.0
qc | fastqc-nano | PGXXXF240300_fail_barcode03	0.18181818181818182	99.81818181818262
qc | fastqc-nano | PGXXXF240300_fail_barcode04	0.40816326530612246	99.5918367346944
qc | fastqc-nano | PGXXXF240300_fail_barcode05	0.1699537109920415	0.0
qc | fastqc-nano | PGXXXF240300_fail_barcode06	0.17635028789939622	0.0
qc | fastqc-nano | PGXXXF240300_fail_barcode07	0.1566673273120228	0.0
qc | fastqc-nano | PGXXXF240300_fail_barcode08	0.14924018910014736	0.0
qc | fastqc-nano | PGXXXF240300_fail_barcode09	0.18832391713747645	99.81167608286306
qc | fastqc-nano | PGXXXF240300_fail_barcode10	0.35714285714285715	99.6428571428573
qc | fastqc-nano | PGXXXF240300_fail_barcode11	0.23715415019762848	0.158102766798419
qc | fastqc-nano | PGXXXF240300_fail_barcode12	0.0	0.0
qc | fastqc-nano | PGXXXF240300_fail_barcode13	0.0	0.0
qc | fastqc-nano | PGXXXF240300_fail_barcode14	0.4716981132075472	99.52830188679265
qc | fastqc-nano | PGXXXF240300_fail_barcode15	0.13872374157748713	0.0
qc | fastqc-nano | PGXXXF240300_fail_barcode16	0.2004008016032064	99.79959919839521
qc | fastqc-nano | PGXXXF240300_fail_barcode17	0.2079002079002079	99.79209979209801
qc | fastqc-nano | PGXXXF240300_fail_barcode18	0.15045135406218654	0.0
qc | fastqc-nano | PGXXXF240300_fail_barcode19	0.2770083102493075	0.0
qc | fastqc-nano | PGXXXF240300_fail_barcode20	0.0	0.0
qc | fastqc-nano | PGXXXF240300_fail_barcode21	0.3708281829419036	0.0
qc | fastqc-nano | PGXXXF240300_fail_barcode22	0.8830022075055187	99.11699779249392
qc | fastqc-nano | PGXXXF240300_fail_barcode23	0.16233766233766234	99.83766233766264
qc | fastqc-nano | PGXXXF240300_fail_barcode24	0.11261261261261261	99.88738738738664
qc | fastqc-nano | PGXXXF240300_pass_barcode01	1.0	99.0
qc | fastqc-nano | PGXXXF240300_pass_barcode02	1.5151515151515151	98.4848484848485
qc | fastqc-nano | PGXXXF240300_pass_barcode03	1.0	99.0
qc | fastqc-nano | PGXXXF240300_pass_barcode04	1.3157894736842104	98.68421052631568
qc | fastqc-nano | PGXXXF240300_pass_barcode05	0.3551732417479097	0.4114699165928249
qc | fastqc-nano | PGXXXF240300_pass_barcode06	0.24223571432060365	0.0
qc | fastqc-nano | PGXXXF240300_pass_barcode07	0.3925282171735941	0.21703213183869652
qc | fastqc-nano | PGXXXF240300_pass_barcode08	0.3649239443414289	0.20336031839355978
qc | fastqc-nano | PGXXXF240300_pass_barcode09	3.4482758620689653	96.55172413793107
qc | fastqc-nano | PGXXXF240300_pass_barcode10	2.2222222222222223	97.77777777777786
qc | fastqc-nano | PGXXXF240300_pass_barcode11	2.054794520547945	97.94520547945183
qc | fastqc-nano | PGXXXF240300_pass_barcode12	1.4705882352941175	98.52941176470642
qc | fastqc-nano | PGXXXF240300_pass_barcode13	2.380952380952381	97.61904761904758
qc | fastqc-nano | PGXXXF240300_pass_barcode14	5.454545454545454	94.54545454545446
qc | fastqc-nano | PGXXXF240300_pass_barcode15	1.1594202898550725	98.84057971014445
qc | fastqc-nano | PGXXXF240300_pass_barcode16	1.5151515151515151	98.4848484848485
qc | fastqc-nano | PGXXXF240300_pass_barcode17	2.380952380952381	97.61904761904772
qc | fastqc-nano | PGXXXF240300_pass_barcode18	0.5208333333333333	99.47916666666646
qc | fastqc-nano | PGXXXF240300_pass_barcode19	13.333333333333334	86.66666666666673
qc | fastqc-nano | PGXXXF240300_pass_barcode20	1.7241379310344827	98.27586206896544
qc | fastqc-nano | PGXXXF240300_pass_barcode21	5.46875	94.53125
qc | fastqc-nano | PGXXXF240300_pass_barcode22	3.8461538461538463	96.1538461538461
qc | fastqc-nano | PGXXXF240300_pass_barcode23	4.878048780487805	95.12195121951216
qc | fastqc-nano | PGXXXF240300_pass_barcode24	2.898550724637681	97.10144927536243
qc | fastqc-nano | PGXXXF240300_pass_unclassified	0.1250816662233665	0.10326096780607727
qc | fastqc-novaseq | Plate_1_A10_22NG7YLT3_S628_L008_R1_001	4.426787741203178	30.34962637154748
qc | fastqc-novaseq | Plate_1_A10_22NG7YLT3_S628_L008_R2_001	4.041926787741203	29.87283626560724
qc | fastqc-novaseq | Plate_1_A11_22NG7YLT3_S692_L008_R1_001	2.9539090181735053	33.18664990284604
qc | fastqc-novaseq | Plate_1_A11_22NG7YLT3_S692_L008_R2_001	3.5468339238770143	32.182249399931415
qc | fastqc-novaseq | Plate_1_A12_22NG7YLT3_S756_L008_R1_001	3.702909811907186	25.995391458121208
qc | fastqc-novaseq | Plate_1_A12_22NG7YLT3_S756_L008_R2_001	3.301002089920154	27.265419859600243
qc | fastqc-novaseq | Plate_1_A1_22NG7YLT3_S1_L008_R1_001	4.298980172876755	35.488040847058315
qc | fastqc-novaseq | Plate_1_A1_22NG7YLT3_S1_L008_R2_001	4.252293194225927	34.31978691307315
qc | fastqc-novaseq | Plate_1_A2_22NG7YLT3_S73_L008_R1_001	4.813239191928191	28.094527473996052
qc | fastqc-novaseq | Plate_1_A2_22NG7YLT3_S73_L008_R2_001	4.287591598547787	27.556852350936598
qc | fastqc-novaseq | Plate_1_A3_22NG7YLT3_S145_L008_R1_001	4.051199266588941	31.216306438272905
qc | fastqc-novaseq | Plate_1_A3_22NG7YLT3_S145_L008_R2_001	3.64862037009357	30.50556535429931
qc | fastqc-novaseq | Plate_1_A4_22NG7YLT3_S217_L008_R1_001	2.151823794507473	32.81621902449044
qc | fastqc-novaseq | Plate_1_A4_22NG7YLT3_S217_L008_R2_001	3.7169403264586127	30.77845034856888
qc | fastqc-novaseq | Plate_1_A5_22NG7YLT3_S289_L008_R1_001	4.003814061341764	29.85485025691061
qc | fastqc-novaseq | Plate_1_A5_22NG7YLT3_S289_L008_R2_001	3.9743532885191684	29.297946615812506
qc | fastqc-novaseq | Plate_1_A6_22NG7YLT3_S361_L008_R1_001	4.690779892842927	31.19423023194289
qc | fastqc-novaseq | Plate_1_A6_22NG7YLT3_S361_L008_R2_001	4.287519192588508	30.448037225586166
qc | fastqc-novaseq | Plate_1_A7_22NG7YLT3_S433_L008_R1_001	3.0606664951106537	24.325302367472972
qc | fastqc-novaseq | Plate_1_A7_22NG7YLT3_S433_L008_R2_001	4.552399639732372	21.068418682449817
qc | fastqc-novaseq | Plate_1_A8_22NG7YLT3_S500_L008_R1_001	3.9174894552933	22.12436565139153
qc | fastqc-novaseq | Plate_1_A8_22NG7YLT3_S500_L008_R2_001	3.4952251282978986	21.02038484609013
qc | fastqc-novaseq | Plate_1_A9_22NG7YLT3_S564_L008_R1_001	4.221749699316421	30.12697220516516
qc | fastqc-novaseq | Plate_1_A9_22NG7YLT3_S564_L008_R2_001	4.3095442296664315	30.124942273827575
qc | fastqc-novaseq | Plate_1_B10_22NG7YLT3_S629_L008_R1_001	6.126954811113885	26.942779193199577
qc | fastqc-novaseq | Plate_1_B10_22NG7YLT3_S629_L008_R2_001	5.725690256249831	26.483159823010443
qc | fastqc-novaseq | Plate_1_B11_22NG7YLT3_S693_L008_R1_001	5.96980431210895	33.13877998663759
qc | fastqc-novaseq | Plate_1_B11_22NG7YLT3_S693_L008_R2_001	5.655283404977708	32.38094637807221
qc | fastqc-novaseq | Plate_1_B12_22NG7YLT3_S757_L008_R1_001	5.318337735600999	26.092579091419754
qc | fastqc-novaseq | Plate_1_B12_22NG7YLT3_S757_L008_R2_001	6.009155123163896	29.203408669877735
qc | fastqc-novaseq | Plate_1_B1_22NG7YLT3_S2_L008_R1_001	5.07280729237578	13.454380822245882
