Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
qc | fastqc | PGXXXF240300_fail_barcode01	PGXXXF240300_fail_barcode01.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1413.0	0.0	78-14756	47.0	99.78768577494692	918.4118895966029	pass	fail	fail	fail	fail	pass	warn	pass	warn	pass	
qc | fastqc | PGXXXF240300_fail_barcode02	PGXXXF240300_fail_barcode02.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1021.0	0.0	87-148994	51.0	100.0	2728.674828599412	pass	fail	fail	fail	fail	pass	warn	pass	pass	pass	
qc | fastqc | PGXXXF240300_fail_barcode03	PGXXXF240300_fail_barcode03.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	550.0	0.0	91-10172	50.0	100.0	821.1581818181818	pass	fail	fail	fail	warn	pass	warn	pass	warn	pass	
qc | fastqc | PGXXXF240300_fail_barcode04	PGXXXF240300_fail_barcode04.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	245.0	0.0	81-7257	47.0	100.0	756.6734693877551	pass	fail	fail	fail	fail	pass	warn	pass	warn	pass	
qc | fastqc | PGXXXF240300_fail_barcode05	PGXXXF240300_fail_barcode05.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2331223.0	0.0	66-357384	51.0	96.9541763969563	5012.125596736134	pass	fail	fail	fail	warn	pass	warn	pass	warn	fail	
qc | fastqc | PGXXXF240300_fail_barcode06	PGXXXF240300_fail_barcode06.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2151967.0	0.0	65-322750	51.0	97.41644153606505	5008.32931406476	pass	fail	fail	fail	pass	pass	warn	pass	warn	fail	
qc | fastqc | PGXXXF240300_fail_barcode07	PGXXXF240300_fail_barcode07.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2013183.0	0.0	65-240924	50.0	97.08084653417026	2518.6668474748694	pass	fail	fail	fail	pass	pass	warn	pass	warn	fail	
qc | fastqc | PGXXXF240300_fail_barcode08	PGXXXF240300_fail_barcode08.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1917714.0	0.0	67-449353	51.0	97.17883403797371	5010.461395181972	pass	fail	fail	fail	pass	pass	warn	pass	warn	fail	
qc | fastqc | PGXXXF240300_fail_barcode09	PGXXXF240300_fail_barcode09.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	531.0	0.0	123-106263	45.0	100.0	2693.2241054613937	pass	fail	fail	fail	warn	pass	warn	pass	warn	pass	
qc | fastqc | PGXXXF240300_fail_barcode10	PGXXXF240300_fail_barcode10.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	280.0	0.0	89-162309	42.0	100.0	3065.6285714285714	pass	fail	fail	fail	fail	pass	warn	pass	warn	pass	
